Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent
21941-7919,QB,Kellen,Kellen Clemens,Clemens,-0.100000001,1,6000,BUF@LAC,LAC,BUF
21941-29445,QB,Sean,Sean Mannion,Mannion,-0.139999996,3,6000,LAR@MIN,LAR,MIN
21941-28434,QB,Trevor,Trevor Siemian,Siemian,14.80857195,7,6000,CIN@DEN,DEN,CIN
21941-70446,QB,Joe,Joe Callahan,Callahan,0,0,6000,BAL@GB,GB,BAL
21941-25410,QB,Mike,Mike Glennon,Glennon,9.680000305,4,6000,DET@CHI,CHI,DET
21941-28515,QB,Cardale,Cardale Jones,Jones,2.74000001,1,6000,BUF@LAC,LAC,BUF
21941-55140,QB,Brad,Brad Kaaya,Kaaya,0,0,6000,DET@CHI,DET,CHI
21941-33647,QB,Kyle,Kyle Sloter,Sloter,0,0,6000,LAR@MIN,MIN,LAR
21941-14194,QB,Blaine,Blaine Gabbert,Gabbert,13.19999949,6,6000,ARI@HOU,ARI,HOU
21941-26483,QB,Geno,Geno Smith,Smith,-0.100000001,1,6000,KC@NYG,NYG,KC
21941-39795,QB,Davis,Davis Webb,Webb,0,0,6000,KC@NYG,NYG,KC
21941-29587,QB,Cody,Cody Kessler,Kessler,1.970000029,2,6000,JAC@CLE,CLE,JAC
21941-33702,QB,Ryan,Ryan Griffin,Griffin,0,0,6000,TB@MIA,TB,MIA
21941-30640,QB,Connor,Connor Shaw,Shaw,0,0,6000,DET@CHI,CHI,DET
21941-14267,QB,Ryan,Ryan Mallett,Mallett,4.96999979,2,6000,BAL@GB,BAL,GB
21941-29683,WR,Nelson,Nelson Agholor,Agholor,9.700000339,9,6000,PHI@DAL,PHI,DAL
21941-9371,RB,Marshawn,Marshawn Lynch,Lynch,7.962500095,8,5900,NE@OAK,OAK,NE
21941-52442,RB,Joe,Joe Mixon,Mixon,8.81111145,9,5900,CIN@DEN,CIN,DEN
21941-33691,RB,Orleans,Orleans Darkwa,Darkwa,7.787499905,8,5900,KC@NYG,NYG,KC
21941-29734,RB,Ty,Ty Montgomery,Montgomery,10.01249981,8,5800,BAL@GB,GB,BAL
21941-29645,RB,Javorius,Javorius Allen,Allen,10.45555539,9,5800,BAL@GB,BAL,GB
21941-14339,RB,Dion,Dion Lewis,Lewis,7.488889058,9,5700,NE@OAK,NE,OAK
21941-54606,WR,John,John Brown,Brown,6.614285605,7,5700,ARI@HOU,ARI,HOU
21941-6607,WR,Mike,Mike Wallace,Wallace,6.137499809,8,5700,BAL@GB,BAL,GB
21941-27338,RB,Rex,Rex Burkhead,Burkhead,9,5,5700,NE@OAK,NE,OAK
21941-79970,WR,Cooper,Cooper Kupp,Kupp,8.411110772,9,5600,LAR@MIN,LAR,MIN
21941-25760,WR,Allen,Allen Hurns,Hurns,8.288888719,9,5600,JAC@CLE,JAC,CLE
21941-25837,RB,Duke,Duke Johnson Jr.,Johnson Jr.,10.86666701,9,5600,JAC@CLE,CLE,JAC
21941-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,13.88888889,9,5600,JAC@CLE,JAC,CLE
21941-30989,RB,Kenyan,Kenyan Drake,Drake,2.262500048,8,5600,TB@MIA,MIA,TB
21941-6627,WR,Ted,Ted Ginn Jr.,Ginn Jr.,9.333333333,9,5600,WAS@NO,NO,WAS
21941-45631,RB,Jamaal,Jamaal Williams,Williams,3.300000054,7,5600,BAL@GB,GB,BAL
21941-7761,TE,Jared,Jared Cook,Cook,8.155555725,9,5600,NE@OAK,OAK,NE
21941-30298,TE,Jordan,Jordan Reed,Reed,7.766666412,6,5600,WAS@NO,WAS,NO
21941-54684,RB,Isaiah,Isaiah Crowell,Crowell,9.088889228,9,5500,JAC@CLE,CLE,JAC
21941-54782,TE,Cameron,Cameron Brate,Brate,9.211111281,9,5500,TB@MIA,TB,MIA
21941-40843,RB,Alex,Alex Collins,Collins,6.612500191,8,5500,BAL@GB,BAL,GB
21941-30837,WR,Jordan,Jordan Matthews,Matthews,5.037499905,8,5400,BUF@LAC,BUF,LAC
21941-24755,WR,Jamison,Jamison Crowder,Crowder,6.237500191,8,5400,WAS@NO,WAS,NO
21941-48344,WR,Albert,Albert Wilson,Wilson,6.17142868,7,5400,KC@NYG,KC,NYG
21941-52451,RB,Samaje,Samaje Perine,Perine,5.583333333,6,5400,WAS@NO,WAS,NO
21941-6641,TE,Jason,Jason Witten,Witten,8.31111145,9,5400,PHI@DAL,DAL,PHI
21941-39580,RB,Devontae,Devontae Booker,Booker,6,6,5400,CIN@DEN,DEN,CIN
21941-25272,TE,Eric,Eric Ebron,Ebron,5.044444614,9,5400,DET@CHI,DET,CHI
21941-33465,RB,Theo,Theo Riddick,Riddick,7.377777947,9,5400,DET@CHI,DET,CHI
21941-40758,RB,Corey,Corey Clement,Clement,7.757142748,7,5400,PHI@DAL,PHI,DAL
21941-14237,TE,Kyle,Kyle Rudolph,Rudolph,7.477778117,9,5400,LAR@MIN,MIN,LAR
21941-14257,WR,Randall,Randall Cobb,Cobb,7.875,8,5400,BAL@GB,GB,BAL
21941-8117,WR,Danny,Danny Amendola,Amendola,7.612500191,8,5400,NE@OAK,NE,OAK
21941-33766,RB,Rob,Rob Kelley,Kelley,5.885714395,7,5400,WAS@NO,WAS,NO
21941-31732,WR,Corey,Corey Coleman,Coleman,7.599999905,2,5400,JAC@CLE,CLE,JAC
21941-14362,TE,Charles,Charles Clay,Clay,8.349999746,6,5300,BUF@LAC,BUF,LAC
21941-9421,RB,Danny,Danny Woodhead,Woodhead,5.199999809,1,5300,BAL@GB,BAL,GB
21941-11495,WR,Brandon,Brandon LaFell,LaFell,6.422222137,9,5300,CIN@DEN,CIN,DEN
21941-26038,TE,Tyler,Tyler Kroft,Kroft,7.512499809,8,5300,CIN@DEN,CIN,DEN
21941-22035,WR,Travis,Travis Benjamin,Benjamin,7.700000339,9,5300,BUF@LAC,LAC,BUF
21941-22109,K,Greg,Greg Zuerlein,Zuerlein,14.55555556,9,5300,LAR@MIN,LAR,MIN
21941-22288,WR,Cole,Cole Beasley,Beasley,6.088888804,9,5300,PHI@DAL,DAL,PHI
21941-54244,WR,Kenny,Kenny Golladay,Golladay,8.274999619,4,5300,DET@CHI,DET,CHI
21941-24589,WR,Jaron,Jaron Brown,Brown,6.244444529,9,5200,ARI@HOU,ARI,HOU
